stressed	{(stress)}
minesweeper	{(mine)}{(sweep)}>er>
surfed	{(surf)}
caprice	{(caprice)}
deceased	{(decease)}
farley	{(farley)}
rainier	{(rain)}>y>>er>
sulky	{(sulk)}>y>
broadly	{(broad)}>ly>
insistent	{<in<(sist)}>ant>
postmaster	{(post)}{(master)}
cavalcade	{(caval)(cade)}
faugh	{(faugh)}
twanged	{(twang)}
declassifications	<de<{(class)}>ify>>ion>
pascataqua	{(pas)}{(cat)}{(aqua)}
modelled	{(model)}
unscrupulous	<un<{(scruple)>ious>}
exterritorial	<ex<{(territory)}>al>
crook	{(crook)}
expostulating	<ex<{(postul)>ate>}
mixes	{(mix)}
choirmaster	{(choir)}{(master)}
lectured	{(lect)>ure>}
abides	{(abide)}
wednesday's	{(wednes)(day)}
tappet	{(tappet)}
promoted	{<pro<(mot)}
chinchilla	{(chinchilla)}
minutiae	{(minutiae)}
stagers	{(stage)}>er>
litmus	{(litmus)}
lambeth	{(lambeth)}
cruelty	{(cruel)}>ity>
phonetics	{(phon)>ics>}
invoking	{(invoke)}
essence	{(essence)}
cocky	{(cock)}>y>
toasted	{(toast)}
carborundum	{(carborundum)}
windshield	{(wind)}{(shield)}
rejoinders	{(rejoinder)}
waxiness	{(wax)}>y>>ness>
neighbouring	{(neighbour)}
frustrated	{(frustrate)}
ashore	{<a<(shore)}
harris's	{(harris)}
evaporate	{<e<(vapor)>ate>}
throughputs	<through<{(put)}
feared	{(fear)}
constricts	{<co<(strict)}
geraghty	{(geraghty)}
wetlands	{(wet)}(land)
abstractors	{<ab<(tract)}>or>
gyroscopic	{(gyro)(scope)}>ic>
deviousness	{(devi)>ious>}>ness>
laity	{(laity)}
pyknotic	{(pyknotic)}
slavonia	{(slavonia)}
psychologies	{(psycho)(log)>y>}
moorhen	{(moor)}{(hen)}
garage	{(garage)}
pothers	{(pother)}
tern	{(tern)}
pedicures	{(podo)(cure)}
ever	{(ever)}
lamed	{(lame)}
match	{(match)}
circular	{(circle)>ar>}
flipped	{(flip)}
somnambulists	{(somn)(amble)>ist>}
telepathic	{(tele)(patho)>ic>}
pawn	{(pawn)}
melville	{(melville)}
lilies	{(lily)}
hookworm	{(hook)}{(worm)}
foreclosing	<fore<{(close)}
warhead	{(war)}{(head)}
bogy	{(bogy)}
idiot's	{(idiot)}
roundness	{(round)}>ness>
boys	{(boy)}
prognosticated	{<pro<(gnose)>ic>}>ate>
hamiltonians	{(hamilton)}>ian>
air	{(air)}
breasts	{(breast)}
undershirt	<under<{(shirt)}
repugnance	{(repugn)>ance>}
